palabra,frecuencia
hacían,132
gasolina,132
afectan,132
puedas,132
pu,132
contribuyentes,132
elección,132
comprando,132
banda,132
rivera,131
tributaria,131
aparentemente,131
amenazas,131
intentan,131
movimientos,131
llegaron,131
sentir,131
vea,131
participación,131
afectados,131
cobra,131
dijimos,131
comunistas,131
firme,131
tertulia,130
cobran,130
perseguir,130
emitir,130
esposa,130
ciclo,130
personajes,130
narrativa,130
pensado,130
chaval,130
interprofesional,130
entrevistas,130
cartera,130
escuchemos,130
saliendo,130
negociar,130
propietarios,130
rato,130
tiranía,130
mensuales,130
depósito,130
delincuencia,129
bolaños,129
sábado,129
preocupante,129
elevado,129
pese,129
parís,129
bastantes,129
dura,129
hambre,129
buscan,129
parlamentaria,129
mostrar,129
tamaño,129
profundamente,129
occidental,129
reglas,129
agregado,129
órdenes,129
cariño,128
compras,128
máxima,128
autonomía,128
trabaja,128
dimisión,128
deciden,128
ftx,128
sanchismo,128
agencia,128
nombres,128
suelen,128
color,128
rubén,128
financieras,128
marxista,128
aumentando,128
manifestación,128
martes,128
privados,127
tomando,127
animal,127
conclusión,127
quede,127
máquina,127
elemento,127
solos,127
minuto,127
carga,127
vengan,127
altas,127
maravilloso,127
partida,127
interno,127
sorprende,127
compañero,126
posibilidades,126
bolsillo,126
inmobiliaria,126
rápidamente,126
recaudar,126
deudas,126
gustan,126
agresiones,126
empresarial,126
planes,126
abuelos,126
nace,126
burocracia,126
participar,126
hipotecas,126
reciben,126
garriga,126
publicidad,126
comerciales,125
esperaba,125
francés,125
locura,125
pagamos,125
alza,125
vacaciones,125
decidió,125
carne,125
novio,125
rechazo,125
promover,125
detalles,125
imputado,125
funciones,125
isla,125
des,125
robar,124
llevó,124
cristo,124
puro,124
fortuna,124
mecanismo,124
contacto,124
documento,124
justificar,124
madrileños,124
refiriendo,124
produciendo,124
determinada,123
armas,123
querida,123
tratado,123
explicamos,123
tratando,123
recibe,123
gusto,123
prohibir,123
finanzas,123
dolor,123
abogados,122
telefónica,122
previamente,122
planteado,122
entendido,122
fuego,122
miembro,122
llamaba,122
inmediata,122
aprovechar,122
río,122
cálculo,122
escribir,122
cierre,121
dirías,121
pactado,121
india,121
podrán,121
siguientes,121
privilegios,121
milei,121
cuentan,121
musk,121
olvidemos,121
covid,121
pudo,121
2014,121
contribuyente,121
progresista,121
pequeñas,121
creando,121
ingreso,121
crece,121
procesos,121
valientes,120
tasas,120
blanca,120
facebook,120
parecen,120
verdadera,120
regular,120
chávez,120
frontera,120
inglés,120
prioridad,120
pedazos,120
sala,120
viaje,120
alternativas,120
ponga,120
comillas,120
publicar,120
diez,120
decenas,120
conversaciones,120
larga,120
actuar,119
sucedió,119
reconocido,119
canadá,119
boric,119
nicolás,119
mediático,119
valoración,119
deber,119
baleares,119
raro,119
presidenciales,119
acuerdan,119
presos,119
universal,119
religión,119
avión,119
aumenta,119
producen,119
suficientemente,119
motor,119
primario,118
occidentales,118
broma,118
permiten,118
informaciones,118
burócratas,118
veamos,118
supera,118
dimitir,118
universidades,118
moreno,118
jurídico,118
vicente,118
ejemplos,118
asociaciones,118
accionistas,118
encanta,118
despacho,118
sexta,118
haremos,118
sexo,118
pérez,117
repetir,117
procedimiento,117
básica,117
illa,117
asociación,117
competir,117
venezolanos,117
vendido,117
dejo,117
reconocimiento,117
potencia,117
contestar,117
inferior,117
llamamos,117
traición,117
empiezas,117
eléctricas,117
boca,117
civiles,117
considero,117
salvar,117
bajado,117
paguen,116
palacio,116
llegamos,116
exigir,116
acá,116
hable,116
mete,116
llamó,116
gallego,116
continuar,116
convierte,116
dirá,116
interna,116
usuarios,116
sustancial,116
fenomenal,116
inglaterra,116
cuya,116
trabajado,116
exceso,116
tocado,116
conocía,116
quita,115
rescate,115
propone,115
periódico,115
termine,115
establece,115
juega,115
descripción,115
bulo,115
preguntado,115
iguales,115
elegido,115
carbón,115
conciencia,115
dejen,115
reuniones,115
trans,115
guerras,115
trayectoria,115
exportaciones,115
hablemos,115
oír,114
consejero,114
solucionar,114
miren,114
consenso,114
cuellos,114
famosa,114
derogar,114
equivalente,114
impedir,114
volviendo,114
ambas,114
servir,114
abre,114
entero,114
terreno,114
fraude,114
trato,114
cátedra,114
confidencial,113
sueldos,113
principalmente,113
balance,113
planteando,113
vascal,113
fíjense,113
siguiendo,113
importaciones,113
opiniones,113
techo,113
movilización,113
sistemas,113
pan,113
hablas,113
negativo,113
invitación,113
comenzar,112
cerrado,112
papá,112
breve,112
autonómicos,112
preguntan,112
verlo,112
seguros,112
pumpido,112
tratan,112
cine,112
soluciones,112
qui,112
permanentemente,112
arte,112
colocar,111
objeto,111
profesión,111
valiente,111
banderas,111
bonito,111
criterio,111
you,111
quedo,111
moda,111
ganadería,111
migratoria,111
panorama,111
cámaras,111
combustibles,111
constantemente,111
33,110
alemana,110
tradicional,110
comparecencia,110
desempleo,110
jurídica,110
dedican,110
hospital,110
ideologías,110
ganó,110
bank,110
energético,110
titulares,110
rusos,110
prisión,110
intensa,110
gasta,110
trampa,110
transformación,110
considerar,110
razonable,110
comprobar,110
hija,110
2015,110
detalle,109
contraria,109
mirando,109
feministas,109
dependencia,109
chavales,109
nueve,109
ocupa,109
encuentran,109
gratis,109
recuperación,109
verdadero,109
abuso,109
resistencia,109
encarecimiento,109
restricciones,109
herramientas,109
700,109
brasil,109
entrando,109
temporal,109
pudiera,109
molesta,108
amazon,108
exteriores,108
suficientes,108
levantar,108
entidad,108
inflacionista,108
absurdo,108
mencionado,108
acerca,108
necesitas,108
meramente,108
totalidad,108
fascista,108
mariana,108
referéndum,108
catalana,108
demon,108
presidentes,108
funcionamiento,108
nominal,108
trabajos,108
plena,108
autonomías,108
aire,108
autor,108
empleados,107
administraciones,107
bajando,107
exige,107
rica,107
alejandro,107
capitalista,107
privacidad,107
llamas,107
aprovechando,107
límites,107
culpable,107
disponible,107
garantía,107
desinformación,107
haría,107
normalidad,107
profesores,106
esencia,106
presentes,106
inteligente,106
valencianos,106
cola,106
gustado,106
den,106
dana,106
habitantes,106
digas,106
artistas,106
electorado,106
abierta,106
correo,106
avance,106
cómplices,105
atentado,105
acusaciones,105
trae,105
alcance,105
incentivos,105
preguntarle,105
utilizado,105
triste,105
sentado,105
hungría,105
aspectos,105
terminan,105
saco,105
parlamentarios,105
ponía,105
comparación,105
pasaba,105
ventaja,105
golpistas,105
antiguo,105
franquismo,105
apuesta,105
meta,105
piel,105
mediática,105
tarifa,105
distancia,105
cliente,105
reconoce,105
sorprendente,105
robado,104
llamativo,104
experimentando,104
york,104
xx,104
técnico,104
individual,104
últimamente,104
continúa,104
impulsar,104
segundos,104
imposición,104
degradación,104
asegurar,104
vuelvo,104
prisa,104
escucha,104
ok,104
firmado,104
olvida,104
existencia,104
mérito,103
billones,103
alquilar,103
franceses,103
fase,103
escala,103
mantenerse,103
tranquilidad,103
mantienen,103
cita,103
acusación,103
rápida,103
nominales,103
ugt,103
publica,103
pensemos,103
compatriotas,103
céntimos,103
precedentes,103
cobrando,102
piensas,102
cubrir,102
avanzando,102
provincial,102
provincias,102
desigualdad,102
avanzar,102
listas,102
próxima,102
29,102
separatista,102
provocado,102
bloqueo,102
igualmente,102
productores,102
claridad,102
casta,102
mentalidad,102
adicional,102
visita,102
dueño,102
for,102
gobernantes,102
pisos,102
droga,102
títulos,101
nacido,101
corruptos,101
independentistas,101
ponemos,101
progreso,101
falsa,101
hermana,101
inmobiliario,101
propietario,101
aspecto,101
secreto,101
separación,101
ámbitos,101
influencias,101
gravedad,101
ciertamente,101
hilo,101
impresionante,101
comentaba,101
supermercado,101
periodismo,101
acostumbrado,101
entienden,101
pinta,101
piden,101
capitales,100
instrucción,100
ocupas,100
invertido,100
recortar,100
empresariales,100
dirigentes,100
equilibrio,100
permiso,100
acabamos,100
entiendes,100
distribución,100
sienten,100
reflexionar,100
específicamente,100
credibilidad,100
cantidades,100
sufrir,100
amplio,100
civilización,100
deseo,100
preparado,100
asalto,100
respaldo,100
tiende,100
comportamiento,100
comienza,100
sabiendo,100
ridículo,100
responsabilidades,100
800,100
representante,100
experimentado,99
manipulación,99
exclusivamente,99
olvidado,99
expectativa,99
preocupados,99
tributar,99
líbano,99
garzón,99
tíos,99
bu,99
2013,99
sostenibilidad,99
violaciones,99
votaron,99
funcionar,99
sinceramente,99
obligado,99
directora,99
listo,99
otan,99
económicamente,99
ejercer,99
invitado,99
violadores,99
enterado,99
ampliar,98
prima,98
previsiblemente,98
actas,98
sufren,98
significativo,98
tr,98
ortiz,98
álvarez,98
ayuntamientos,98
investigar,98
pura,98
convertirse,98
maneras,98
velocidad,98
declarado,98
públicamente,98
mueve,98
siglos,98
2016,98
posiciones,98
saca,98
permitido,98
chilenos,98
divisas,98
sistemáticamente,98
islam,98
leche,98
sigan,97
compran,97
física,97
judiciales,97
jugando,97
encuesta,97
extranjera,97
permita,97
débil,97
clima,97
deporte,97
mandar,97
comienzo,97
edmundo,97
lujo,97
pasos,97
culpables,97
animales,97
apoyado,97
fórmula,97
bancario,97
ganan,97
pelo,97
comenzó,97
películas,97
oriente,97
racista,97
contundente,97
estructural,97
entramos,96
sepan,96
potencialmente,96
dejamos,96
tono,96
pasamos,96
obtenido,96
preocupado,96
suponer,96
acabe,96
actuación,96
locos,96
respetar,96
cartas,96
nuevamente,96
tien,95
simple,95
basado,95
revalorización,95
fotos,95
grabar,95
representan,95
yuso,95
importar,95
aliado,95
convicciones,95
ana,95
gobiernan,95
materiales,95
gaza,95
metes,95
altura,95
aplica,95
navidad,95
esperemos,95
cometer,95
ine,95
realizar,95
recortes,95
roja,95
activa,95
quedarse,95
sal,95
vuelven,95
plenamente,95
cl,95
informado,95
norma,95
prohibido,95
inversor,95
inmediato,95
defendido,95
aportar,95
cumplen,95
provocar,94
tenerlo,94
escriba,94
toman,94
corresponde,94
hermanos,94
pertenece,94
online,94
tecno,94
energías,94
modelos,94
matar,94
directos,94
artista,94
firmar,94
mata,94
laborales,94
locales,94
existir,94
27,94
descontrolada,94
vías,94
anda,94
envidia,94
previo,94
comentario,94
fed,94
lanzar,94
anunció,93
250,93
darles,93
tremenda,93
hotel,93
investigada,93
intercambio,93
querella,93
llegaba,93
deriva,93
incluyendo,93
mero,93
escoger,93
abandonar,93
oído,93
utilidad,93
conclusiones,93
funcionan,93
teatro,93
daniel,93
fruto,93
esencial,93
delincuente,93
únicos,93
emisión,93
asturias,93
técnica,93
suban,93
falsas,93
acostumbrados,93
flujos,93
informes,93
propiedades,93
complicada,93
recurso,93
incrementa,93
automáticamente,92
chicos,92
navarra,92
600,92
gustaba,92
municipales,92
determinación,92
extraordinarios,92
colapso,92
refiere,92
productivo,92
marketing,92
características,92
herramienta,92
alemanes,92
quisiera,92
eventos,92
superiores,92
postura,92
masivamente,92
espíritu,92
disparate,92
diversas,92
cuerpos,92
dedicar,91
legítimo,91
equivale,91
santo,91
cuotas,91
dirigido,91
rebajar,91
trabajadora,91
segura,91
oficiales,91
monetarios,91
bar,91
correos,91
triunfo,91
instagram,91
elevada,91
sigo,90
equivocado,90
haberse,90
ortega,90
tiro,90
culturas,90
marroquí,90
semestre,90
disfrutar,90
ent,90
pongan,90
vehículo,90
parlamentos,90
acordado,90
montado,90
impunidad,90
morir,90
comienzos,90
jubilación,90
realizado,90
magnitud,90
representar,90
volvemos,90
seguidores,90
requiere,90
monedero,89
ruido,89
calviño,89
habitación,89
conoces,89
macho,89
dependen,89
basura,89
tramos,89
intervenir,89
suecia,89
detener,89
mostrado,89
lecciones,89
comentamos,89
positiva,89
extremo,89
investigando,89
jessica,89
interesantes,89
terminó,89
aeropuerto,89
dal,89
transmitir,89
póker,89
dani,89
apunta,88
contribuir,88
recibiendo,88
mediados,88
proporciona,88
obtuvo,88
acabas,88
hispanoamérica,88
an,88
anunciar,88
fijémonos,88
trabajan,88
ronda,88
chicas,88
insulto,88
ganancias,88
sabido,88
legalidad,88
transparencia,88
hagas,88
autonómico,88
lleno,88
colombianos,88
criterios,88
estatales,88
oa,88
marcas,88
impide,88
investigado,87
árabes,87
destino,87
manipular,87
volumen,87
trigo,87
emite,87
diálogo,87
pemón,87
31,87
destruye,87
sangre,87
podremos,87
disculpas,87
discursos,87
novela,87
presunción,87
conde,87
relacionado,87
coge,87
corrientes,87
ia,87
imputada,87
entregar,87
pendiente,87
negociaciones,87
categoría,87
descubierto,87
consumir,87
conservador,87
capitalización,86
hiciera,86
internos,86
carburantes,86
acabo,86
contento,86
vital,86
controles,86
mensual,86
arabia,86
llegas,86
llegará,86
anunciaba,86
brecha,86
récord,86
perdona,86
95,86
lamentablemente,86
fascismo,86
lectura,86
actúa,86
facilitar,86
globales,86
obvio,86
incrementando,86
marginal,86
llevas,86
cupo,86
monetarias,85
perspectivas,85
obliga,85
previsión,85
cristina,85
americanos,85
forman,85
as,85
presentó,85
señala,85
explico,85
suba,85
magistrado,85
podíamos,85
tesla,85
editorial,85
fósiles,85
quiebra,85
atender,85
mecanismos,85
ausencia,85
ideal,85
ideológicas,85
smith,85
miente,85
ánimo,84
agradezco,84
fines,84
diferencial,84
candidata,84
sufre,84
páginas,84
planificación,84
necesarios,84
votó,84
zelenski,84
organismos,84
contamos,84
invitados,84
tercio,84
legislativo,84
entera,84
generalidad,84
voluntarios,84
acoso,84
rublos,84
tren,84
artes,84
celebrar,84
convencer,84
marta,84
residencia,84
señalado,84
australia,84
consiguió,84
conocida,84
autonómicas,84
territorios,84
físico,84
persecución,84
supervivencia,84
esperan,84
enormemente,83
99,83
serlo,83
pantalla,83
billetes,83
abordar,83
gabinete,83
introducir,83
seguirá,83
comentando,83
concepción,83
aires,83
valorar,83
denunciado,83
quitando,83
determinar,83
salarial,83
refugio,83
venezolano,83
coges,83
periódicos,82
ente,82
penas,82
pedimos,82
recorrido,82
daños,82
parezca,82
particulares,82
numerosos,82
mental,82
llena,82
pánico,82
curiosamente,82
negativa,82
virus,82
café,82
deciros,82
plata,82
sacrificio,82
tremendo,82
desaparecido,82
tapar,82
sacan,81
transacciones,81
iván,81
anuncia,81
denuncias,81
vayamos,81
desarrollando,81
preparando,81
metiendo,81
privilegio,81
agujero,81
enfoque,81
mascarilla,81
promoción,81
traen,81
entregado,81
amplia,81
negativos,81
vecino,81
equipos,81
esperamos,81
hogar,81
referente,81
bascal,81
dominicana,81
agendas,81
bienvenida,81
correcta,81
dormir,81
conozca,81
publicaba,81
okay,81
sindicato,81
instrumento,81
consumidor,80
ten,80
peinado,80
temporada,80
convocar,80
compensar,80
prácticas,80
hablábamos,80
900,80
líneas,80
secretos,80
criptomonedas,80
testigo,80
artículos,80
manteniendo,80
creía,80
renunciar,80
provoca,80
2007,80
entidades,80
flujo,80
lenguaje,80
energéticas,80
escuchan,80
reformar,80
fiat,80
anécdota,80
vienes,80
darse,80
conociendo,80
necesarias,80
promesa,80
ventas,80
we,79
fiscalidad,79
concejales,79
protestas,79
fanatismo,79
repartir,79
definir,79
comprometido,79
delsi,79
coherente,79
autócrata,79
pen,79
llamando,79
confirmado,79
relevancia,79
contratar,79
necesito,79
alumnos,79
original,79
capítulo,79
alcanzado,79
decirte,79
presuntamente,79
lealtad,79
monopolio,79
debilidad,79
curva,79
superar,79
iniciar,79
interpretación,79
básico,79
desleal,79
transportes,78
quedamos,78
nombrado,78
ecuador,78
pepe,78
ruptura,78
productiva,78
hitler,78
oh,78
destruido,78
península,78
regla,78
femenino,78
movilidad,78
cerebro,78
santos,78
experto,78
lleguen,78
verdades,78
romano,78
malversación,78
acompañado,78
escuelas,78
padeciendo,78
2011,78
fran,78
maravillosa,78
presupuestario,78
condenar,78
cuidar,78
miras,78
exposición,78
golpista,78
avanza,78
solitario,78
avascal,78
tradicionales,78
meto,78
cumpliendo,78
adicionales,78
previsto,78
siria,78
concierto,78
djokovic,78
aprobación,78
ocurra,78
secretaria,78
deflación,78
estadística,78
árabe,77
convicción,77
empiezo,77
colaborar,77
previa,77
mesas,77
ongs,77
tomo,77
demostrando,77
creéis,77
cien,77
enfrentar,77
marlasca,77
exista,77
félix,77
ferraz,77
usar,77
cumbre,77
có,77
cruz,77
votante,77
aborto,77
inconstitucional,77
abrazo,77
lamentable,77
pagaba,77
atreve,77
claras,77
billete,77
individuales,77
móviles,77
similares,76
show,76
juzgados,76
catalanas,76
alarma,76
preparados,76
incentivo,76
masivo,76
marido,76
cooperación,76
seguiremos,76
reduce,76
cogido,76
escándalos,76
mario,76
católica,76
constituye,76
patrón,76
44,76
bajan,76
descuento,76
dolarización,76
divertido,76
alma,76
obligaciones,76
meten,76
hagamos,76
liderazgo,76
dictador,76
explique,76
tierras,76
vayas,76
profundo,76
obtiene,76
afortunadamente,76
electrónica,76
campañas,76
120,76
merecen,75
negado,75
mando,75
difíciles,75
socialdemócrata,75
bleyen,75
psc,75
cielo,75
natalidad,75
ultra,75
permanecer,75
abiertas,75
mercancía,75
abuelo,75
washington,75
asesores,75
corrupta,75
combate,75
mantenido,75
solvencia,75
ofrecen,75
luchando,75
saludo,75
tensión,75
dinámica,75
hipocresía,75
talento,75
continente,75
construido,75
aparecer,75
aparecen,75
inmigrante,75
justa,75
formato,75
consejeros,75
alcohol,75
trabajadoras,75
vaticano,75
reduciendo,75
islas,75
legitimidad,75
aguantar,75
drama,75
fascinante,75
conexión,75
frío,74
claves,74
hidalgo,74
jurídicos,74
asegurado,74
organismo,74
leyendo,74
palestina,74
hugo,74
quinto,74
restricción,74
normativa,74
bolsas,74
efectuar,74
rentable,74
estupidez,74
senda,74
impositivo,74
acontecimientos,74
34,74
doctor,74
toque,74
documentación,74
elevados,74
sabíamos,74
pretendía,74
clo,74
completa,74
quedando,74
ideológicos,74
invierno,74
venían,74
mencionar,74
diarios,74
it,74
existía,74
reemplazar,74
vladimir,74
55,74
pum,74
bursátil,74
aprobó,74
enviar,74
transferencias,73
pasadas,73
profunda,73
rural,73
brazo,73
elevar,73
metro,73
incluye,73
guardias,73
discutir,73
pro,73
concejal,73
destruyendo,73
soportar,73
tarea,73
patrimonial,73
expulsar,73
estudiado,73
cubanos,73
normalizado,73
condenados,73
católicos,73
bruto,73
impone,73
mintiendo,73
republicano,73
sueño,73
toneladas,73
fría,72
polonia,72
enfermedad,72
competitividad,72
recomiendo,72
viejo,72
injusto,72
americano,72
notable,72
hacerle,72
peronismo,72
multimillonarios,72
especiales,72
empobrecimiento,72
cumplido,72
volvió,72
respeta,72
niña,72
macron,72
recibimos,72
llegué,72
sacando,72
fomentar,72
libremente,72
perfiles,72
em,72
echenique,72
contratación,72
partidas,72
culo,72
sabían,72
expresar,72
adquirir,72
escribió,72
invierte,72
ofreciendo,72
desaparecer,72
ministerios,72
demócrata,72
apoyando,72
evergrande,71
papeles,71
inevitable,71
huevos,71
guste,71
divisa,71
enviado,71
fortunas,71
tranquila,71
élite,71
rojo,71
mera,71
expresado,71
tratamiento,71
italiano,71
llevaron,71
afectar,71
encargado,71
determina,71
niega,71
dijera,71
materias,71
inmuebles,71
exchange,71
recorte,71
futuras,71
espectáculo,71
lanza,71
dejaron,71
desprecio,71
imprimir,71
quitado,71
enseñar,71
letras,71
ecológica,71
huerta,71
desarrolla,71
estimación,71
compro,71
caiga,71
banquillo,70
racistas,70
plataformas,70
globalistas,70
favorable,70
propuesto,70
añadido,70
that,70
sujeto,70
marxismo,70
radicales,70
revertir,70
pidió,70
independientemente,70
episodio,70
componente,70
tecnologías,70
vulnerables,70
consiguen,70
efectiva,70
dependiente,70
3000,70
indicios,70
navarro,70
reto,70
claros,70
maravilla,70
ocupar,70
registro,70
joe,70
enhorabuena,70
servido,70
valentía,70
acompaña,70
conflictos,70
com,70
convocatoria,70
charla,70
sesiones,70
empleado,70
inmueble,70
petición,70
remedio,70
colocado,69
sirven,69
agradecimiento,69
silicon,69
crudo,69
netflix,69
comparten,69
desaparece,69
vigente,69
minoría,69
saudí,69
naturales,69
adoptar,69
mover,69
regional,69
decadencia,69
entró,69
inocente,69
pies,69
aceptado,69
asistencia,69
aplicado,69
hacernos,69
aplicando,69
asia,69
génova,69
proponer,69
convencidos,69
valen,69
voten,69
previsiones,69
37,69
entienda,69
posterior,69
registrado,68
pachi,68
enfrente,68
juventud,68
afrontar,68
equivoco,68
abiertamente,68
amiga,68
ahorros,68
produjo,68
barrabés,68
regulaciones,68
funcionando,68
pague,68
guay,68
feijo,68
aspira,68
generalmente,68
ambición,68
chantaje,68
contentos,68
incompatible,68
radicalmente,68
limitar,68
miami,68
escasez,68
cuyos,68
escaño,68
gravísimo,68
asesor,68
recibió,68
humo,68
sanitarios,68
filtrado,68
miramos,68
imagínense,68
maestro,68
85,68
expansión,68
convirtiendo,68
destacar,67
moderación,67
bandas,67
extraño,67
cis,67
moderna,67
fatal,67
firma,67
rubiales,67
presidencial,67
cobro,67
probabilidad,67
movilizaciones,67
ibiza,67
sorprendido,67
sanitaria,67
sentimiento,67
ajuste,67
tramo,67
comunes,67
estudiando,67
tome,67
estrategias,67
repartirse,67
historias,67
incapaz,67
imprescindible,67
unida,67
tirando,67
chico,67
importe,67
acompañarnos,67
iniciativas,67
olviden,67
debatir,67
medicina,67
nicho,67
círculo,67
globalismo,67
seria,66
apoya,66
comprender,66
prohibición,66
legado,66
trabas,66
libertario,66
verán,66
obstante,66
sigamos,66
criticando,66
suspensión,66
machista,66
madres,66
pagarán,66
afirmar,66
alianzas,66
quitan,66
perro,66
orban,66
litro,66
veamoslo,66
londres,66
afectado,66
chavismo,66
asesinato,66
surge,66
pymes,66
negociando,66
come,66
encuentras,66
descanso,66
evaluar,66
autonómica,66
caras,66
cumplimiento,66
5000,66
financia,66
prosperar,66
hab,66
valle,66
tontos,66
componentes,66
pollo,66
finlandia,66
estupendo,66
salto,66
voces,66
consume,66
estrictamente,66
vieron,66
operar,65
reglamento,65
percepción,65
intervenciones,65
errejón,65
cambió,65
conferencia,65
azul,65
mu,65
formaciones,65
limitado,65
pasará,65
entren,65
carles,65
urgente,65
recurrir,65
informar,65
vivía,65
compromisos,65
austria,65
one,65
disparar,65
estatus,65
mínimos,65
prisiones,65
defensor,65
habitualmente,65
viajes,65
martínez,65
sacó,65
47,65
48,65
nietos,65
netos,65
soto,65
geopolítica,65
expresidente,65
saldo,65
coin,65
funcionario,65
autores,65
corea,65
requisitos,65
sobrevivir,65
aragonés,65
dejas,65
oficio,65
barriles,65
arma,65
idioma,65
incluido,64
jiménez,64
área,64
acumulación,64
recuerdan,64
tuit,64
transportistas,64
jano,64
delegado,64
rosa,64
acumular,64
arancel,64
mentido,64
mariano,64
codo,64
jugamos,64
convocado,64
apostar,64
crimen,64
respondía,64
hijas,64
cristianos,64
depender,64
horizonte,64
realizando,64
cuarta,64
crezca,64
lérida,64
mantenimiento,64
protocolo,64
fundamento,64
primas,64
teorías,64
apertura,64
liquidar,64
crítico,64
emitiendo,64
solicitado,64
preguntaban,64
posesión,64
orgulloso,64
organizado,64
enfrentamiento,64
musulmanes,64
fechas,64
bola,64
saludar,64
encarecido,64
espectadores,64
parque,64
notas,64
prefiero,64
urgencia,64
desarrollado,64
emitido,64
mamá,63
mayúsculo,63
federación,63
post,63
exministro,63
máquinas,63
daban,63
quedas,63
málaga,63
paquete,63
pecho,63
inicialmente,63
naturalmente,63
cubano,63
perdió,63
contestado,63
normales,63
fascistas,63
dinámicas,63
sufrimiento,63
excepcional,63
ganador,63
plazas,63
réplica,63
miting,63
carreteras,63
roto,63
sencillamente,63
melón,63
piedra,63
potente,63
tirado,63
nacionalidad,63
criptoactivos,63
medir,63
pesca,63
celebración,63
defenderse,63
típica,63
puebla,63
retirar,63
expulsión,63
maquinaria,63
crucial,63
lío,63
documental,63
dirigir,63
iberoamérica,63
genocidio,63
sombra,62
franja,62
aprendido,62
dedico,62
catástrofe,62
bomba,62
cayó,62
comparar,62
cartel,62
garín,62
decente,62
nobel,62
esfuerzos,62
ola,62
populista,62
luces,62
márgenes,62
literatura,62
compartimos,62
chileno,62
coyuntura,62
harán,62
extremadamente,62
42,62
escribe,62
turquía,62
une,62
obligar,62
ubica,62
liderar,62
cúpula,62
conseguimos,62
adecuada,62
tecnológicas,62
modificar,62
adelantado,62
iremos,62
rebajas,62
inventado,62
cambian,62
gobernado,62
sales,62
salgan,62
prefieren,62
intenciones,62
jornadas,61
creó,61
documentos,61
socialmente,61
transmisión,61
rescatar,61
tía,61
asume,61
parado,61
dubai,61
dictaduras,61
cobarde,61
tirano,61
conservadora,61
policial,61
menudo,61
facilidad,61
extranjeras,61
tele,61
so,61
ventajas,61
priori,61
israelí,61
conquista,61
gloria,61
ocupado,61
televisiones,61
inicial,61
reina,61
coca,61
diputación,61
acompañados,61
crímenes,61
aclarar,61
salimos,61
nombramiento,61
engañando,61
alfonso,61
bipartidismo,61
cercano,61
mediterráneo,61
voluntaria,61
berlín,61
concurso,61
open,61
dic,61
pescadores,61
productivos,61
beneficiar,61
irá,60
investigaciones,60
mezcla,60
internamente,60
fiestas,60
resultar,60
suceda,60
asesinatos,60
buah,60
megavatio,60
nacionalismo,60
habló,60
hiper,60
establecido,60
hipótesis,60
abogacía,60
accidente,60
estándares,60
rival,60
mapa,60
rublo,60
intentó,60
preguntaba,60
tod,60
soros,60
gobernante,60
introducción,60
echa,60
eficiente,60
seguía,60
infierno,60
débiles,60
previsible,60
duras,60
negar,60
cama,60
miran,60
constancia,60
enormes,60
barata,60
quedaba,60
moderno,60
puigdemont,60
específico,60
armengol,60
bajadas,60
italiana,60
método,60
concentración,60
comprendo,60
explotación,60
depreciación,60
electores,60
caen,60
esfera,60
señalando,60
aporta,60
gane,59
mejora,59
autodeterminación,59
decida,59
reunido,59
teléfonos,59
32,59
beso,59
niegan,59
atentados,59
protagonizar,59
giro,59
combustible,59
ropa,59
debía,59
mancha,59
mejorando,59
aprueba,59
bélgica,59
duración,59
optimista,59
irregular,59
intelectuales,59
populismo,59
democracias,59
selección,59
islamista,59
apoyan,59
acuerda,59
superado,59
raza,59
contiene,59
callar,59
descubrir,59
contactos,59
positivos,59
formalmente,59
consideramos,59
circo,59
científico,59
dueños,59
mirad,59
huelga,59
hidrocarburos,59
restaurante,59
hernández,59
futura,59
vinculado,59
militantes,59
premios,59
pusieron,59
redistribución,59
avalos,59
basa,59
andar,59
confiar,58
electrónico,58
relevantes,58
animo,58
reforzar,58
empiece,58
islámica,58
pasión,58
vasca,58
conocimientos,58
concreta,58
particularmente,58
sostiene,58
conspiración,58
sentimientos,58
censurar,58
recibo,58
ordenador,58
adoptado,58
cometen,58
cometiendo,58
discusión,58
heridos,58
aseguro,58
respondido,58
arrancamos,58
4000,58
perjudica,58
vinculadas,58
diplomático,58
pedía,58
impresión,58
contribuido,58
agente,58
excepto,58
significativa,58
centrado,58
cárceles,58
sentencias,58
lanzado,58
rearme,58
palacete,58
levantado,58
orgullosos,58
faltan,58
supuestos,58
destacado,58
viajar,58
posee,58
fake,58
nació,58
demos,58
rigor,58
suspender,58
añadir,58
avanzado,58
parados,57
presentando,57
solicitar,57
protestar,57
estímulo,57
reconstrucción,57
afines,57
retos,57
trasladado,57
tensiones,57
procede,57
pillado,57
conceptos,57
canaria,57
antigua,57
temprano,57
explotar,57
discutible,57
pelear,57
terror,57
probar,57
impulso,57
opina,57
queramos,57
alcanza,57
escribiendo,57
eco,57
ética,57
donaciones,57
lee,57
múltiples,57
enseguida,57
enlace,57
engaño,57
acreedores,57
hm,57
pertinente,57
presiones,57
revisión,57
mandan,57
ricas,57
profundidad,57
gigantesca,57
stock,57
actor,57
institucionales,56
dependientes,56
participado,56
dificultad,56
hacéis,56
doña,56
trabajamos,56
podrías,56
pasaporte,56
pierden,56
portavoces,56
barrera,56
montaña,56
afectadas,56
cercanos,56
badajoz,56
km,56
testimonio,56
residencias,56
industrias,56
re,56
dirige,56
pata,56
perpetrado,56
traduce,56
